index,parent,subba,time,start,end,start_act,end_act,start_match,end_match,n_obs,na,type,update,success,comments
1,CISO,PGAE,2024-12-26 22:56:07.325651+00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,True,True,40626,204,backfill,True,True,Missing values were found; 
1,CISO,SCE,2024-12-26 22:56:31.836787+00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,True,True,40626,204,backfill,True,True,Missing values were found; 
1,CISO,SDGE,2024-12-26 22:56:56.117737+00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,True,True,40626,204,backfill,True,True,Missing values were found; 
1,CISO,VEA,2024-12-26 22:57:20.441821+00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,2019-07-01 08:00:00,2024-02-18 01:00:00,True,True,40626,204,backfill,True,True,Missing values were found; 
2,CISO,PGAE,2024-12-27 01:23:30.303050+00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,True,True,7495,92,refresh,False,False,"Missing values were found; The data refresh failed, please check the log; "
2,CISO,SCE,2024-12-27 01:23:35.188524+00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,True,True,7495,101,refresh,False,False,"Missing values were found; The data refresh failed, please check the log; "
2,CISO,SDGE,2024-12-27 01:23:40.771427+00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,True,True,7495,87,refresh,False,False,"Missing values were found; The data refresh failed, please check the log; "
2,CISO,VEA,2024-12-27 01:23:45.872089+00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,2024-02-18 02:00:00,2024-12-26 08:00:00,True,True,7495,87,refresh,False,False,"Missing values were found; The data refresh failed, please check the log; "
